A320BOG,Breogan Airways VA (BOG)
A320BSV,BlueSky VA (BSV)
A320BTV,Batavia Air (BTV)
A320BUH,Bursa Airlines VA (BUH)
A320BWG,Blue Wings (BWG)
A320BXS,SPANTAX VA (BXS)
A320CAI,Corendon Airlines (CAI)
A320CCA,Air China (CCA)
A320CCA2,Air China (Hubei) (CCA)
A320CCA3,Air China (Blue Peony) (CCA)
A320CCM,Air Corsica (CCM)
A320CCM2,Air Corsica (person on tail) (CCM)
A320CCM3,Air Corsica (lines on tail) (CCM)
A320CES,China Eastern (CES)
A320CES2,China Eastern (expo 2010) (CES)
A320CFG,Condor (CFG)
A320CFG2,Condor Flugdienst (retro) (CFG)
A320CGL,Seagle Air (CGL)
A320CKL,Caeli Airlines VA (CKL)
A320CKY,Cloudsky Airways VA (CKY)
A320CLI,Clickair (CLI)
A320CNS,Conesul VA (CNS)
A320COJ,Coljet VA (COJ)
A320COL,Colonia Air VA (COL)
A320CRZ,Cruzeiro (CRZ)
A320CSA,Czech Airlines (CSA)
A320CSA2,Czech Airlines (Prague Airport) (CSA)
A320CSC,Sichuan Airliners (CSC)
A320CSN,China Southern Airliners (CSN)
A320CST,ColStar VA (CST)
A320CTN,Croatia Airlines (CTN)
A320CTN2,Croatia Airlines (Star Alliance) (CTN)
A320CTO2,Air Catalonia VA (CTO)
A320CTO3,Air Catalonia VA (CTO)
A320CTV,Citilink Garuda Indonesia (CFM) (CTV)
A320CTV2,Citilink Garuda Indonesia (IAE) (CTV)
A320CYB,Cyber Air VA (CYB)
A320CYJ,CanaryJet.com (CYJ)
A320CYP,Cyprus Airways (CYP)
A320CZW,Czech Wings (CZW)
A320DAL,Delta Airlines (DAL)
A320DBR,Duchbird (DBR)
A320DFY,Dreamfly Airways VA (DFY)
A320DLH,Lufthansa (DLH)
A320DSM2,LAN Argentina (Oneworld) (DSM)
A320DSY,Dream Sky Airlines VA (DSY)
A320DUB,Dubai Airwing (DUB)
A320EAA,Air Bishkek (EAA)
A320EAS,European Airwings (EAS)
A320EBA,EuroBerlin VA (EBA)
A320ECN,Econair VA (ECN)
A320EDW,Edelweiss (EDW)
A320EEP,European Express (EEP)
A320EEZ,Eurofly (EEZ)
A320EIN,Aer Lingus (EIN)
A320EIN2,Aer Lingus (retro) (EIN)
A320EMI,Emisphair VA (EMI)
A320ESH,European Air Shuttle VA (ESH)
A320ETD,Etihad Airways (ETD)
A320EUK,Euskalair VA (EUK)
A320EZS,easyJet Switzerland (EZS)
A320EZY,easyJet (EZY)
A320EZY2,easyJet (200th) (EZY)
A320EZY3,Easyjet (Moscow sticker) (EZY)
A320FFT,Frontier Airlines (Cariboo) (FFT)
A320FFT2,Frontier Airlines (Bighorn) (FFT)
A320FHE,Hello (FHE)
A320FIN,Finnair (FIN)
A320FOM,Freedom Air (FOM)
A320FOR,Flyover Airlines (FOR)
A320FTI,Fly FTI (FTI)
A320FVI,Flyitalia VA (FVI)
A320FWS,FlyAntilles Airways VA (FWS)
A320GAL,German Airlines VA (GAL)
A320GFA,Gulf Air (GFA)
A320GFA2,Gulf Air (Grand Prix) (GFA)
A320GFV,German Flights VA (GFV)
A320GLG,Aerogal (GLG)
A320GOW,Go Airlines (GOW)
A320GOW1,Go Airlines (VT-WAK) (Brown) (GOW)
A320GOW2,Go Airlines (VT-WAN) (Gray) (GOW)
A320GOW3,Go Airlines (VT-WAD) (Pink) (GOW)
A320GOW4,Go Airlines (VT-WAB) (Orange) (GOW)
A320GOW5,Go Airlines (VT-WAF) (Red) (GOW)
A320GRE,Great Airways VA (GRE)
A320GRW,Greece Airways VA (GRW)
A320GWG,German Airwings (GWG)
A320GWI,Germanwings (GWI)
A320HAM,Hamburg Air (HAM)
A320HAN,Aerostream VA (HAN)
A320HAY2,Hamburg Airways (D-AHHD) (HAY)
A320HCC,Holidays Czech Airlines (HCC)
A320HDA,Dragonair China (HDA)
A320HDU,Hamdus VA (HDU)
A320HES,Hesperia Airlines (HES)
A320HIS,Hispania Airways VA (HIS)
A320HVN,Vietnam Airlines (HVN)
A320IAC,Indian Airlines (IAC)
A320IAW,Iraqi Airways (IAW)
A320IBE,Iberia (IBE)
A320IBE2,Iberia (One world) (IBE)
A320IBF,IberFlight VA (IBF)
A320IBS,Iberia Express (IBS)
A320IDA,Indonesia Air Transport (IDA)
A320IGO,Indigo (IGO)
A320IHY,Istanbul VA (IHY)
A320IRA,Iran Air (IRA)
A320IRM,Mahan Air (IRM)
A320ISR,Israir (ISR)
A320ISS,Meridiana (ISS)
A320ITF,AIR INTER VA (ITF)
A320IVV,Italiani Volanti VA (IVV)
A320IWD,Iberworld (IWD)
A320IWD2,Iberworld (Orbest Orizonia) (IWD)
A320IYE,Yemenia (IYE)
A320IZM,IHY Izmir Airlines (IZM)
A320JAV,Jordan Aviation (JAV)
A320JBU,JetBlue Airways (building blocks) (JBU)
A320JBU2,JetBlue Airways (boston red sox) (JBU)
A320JBU3,JetBlue Airways (DIRECTV) (JBU)
A320JET,Wind Jet (JET)
A320JGO,Jet's Go VA (JGO)
A320JJP,Jetstar japan (JJP)
A320JKK,Spanair (JKK)
A320JKK2,Spanair (Star Alliance) (JKK)
A320JSA,Jetstar Asia (JSA)
A320JST,Jetstar (JST)
A320JZR,Jazeera Airways (JZR)
A320JZR2,Jazeera Airways (viva telecom) (JZR)
A320KAC,Kuwait Airways (KAC)
A320KFY,Kafly VA (KFY)
A320KGL,Kolavia (KGL)
A320KHO,Khors Air (KHO)
A320KKK,AtlasJet (KKK)
A320KNE,Nas Air (KNE)
A320KNE2,Nas Air (flynas) (KNE)
A320KVL,CARAVAiles VA (KVL)
A320KZN,Air Nomad VA (KZN)
A320KZR,Air Astana (KZR)
A320KZR2,Air Astana (20 years independence) (KZR)
A320LAA,Libyan Airlines (LAA)
A320LAN,LAN Airlines (LAN)
A320LAO,Lao Airlines (LAO)
A320LBT,Nouvelair (LBT)
A320LBY,Belle Air (LBY)
A320LCZ,Czechliner VA (LCZ)
A320LGX,Ligurian Air VA (LGX)
A320LIT,Littoral Airlines VA (LIT)
A320LLC,Small Planet Airlines (LLC)
A320LLM,Yamal Airlines (LLM)
A320LMU,Almasria Universal Airlines (LMU)
A320LNE,LAN Ecuador (LNE)
A320LST,Lusitaniair VA (LST)
A320LTU,LTU International (LTU)
A320LXR,Air Luxor (LXR)
A320LZB,Bulgaria Air (LZB)
A320MAC,Air Arabia Maroc (MAC)
A320MAV,Matsakoni VA (MAV)
A320MDL,Mandala Airlines (MDL)
A320MEA,Middle East Airlines (MEA)
A320MED,Mediterranea Virtual Airlines (MED)
A320MHL,Millenium Air VA (MHL)
A320MLD,Air Moldova (MLD)
A320MLM,Comlux Malta (MLM)
A320MLR,Mihin Lanka (MLR)
A320MMA,MAI Myanmar Airways International (MMA)
A320MON,Monarch (MON)
A320MPD,Air Comet (MPD)
A320MPH,Martinair (MPH)
A320MSC,Air Cairo (MSC)
A320MSR,Egypt Air (MSR)
A320MXA,Mexicana (MXA)
A320MXA2,Mexicana (Vive Mexico) (MXA)
A320MXAOLD,Mexicana (Old) (MXA)
A320MYT,My Travel (MYT)
A320NEC,NeckarAirways VA (NEC)
A320NIA,Nile Air (NIA)
A320NKS,Spirit Airlines (NKS)
A320NLV,New Livingston (NLV)
A320NLY,Fly Niki (NLY)
A320NMA,Nesma Airlines (NMA)
A320NPS,Nephis VA (NPS)
A320NPV,Napulevola VA (blue) (NPV)
A320NPV2,Napulevola VA (green) (NPV)
A320NWA,Northwest Airlines (NWA)
A320NWS,Nordwind Airlines (NWS)
A320OAL,Olympic Air (OAL)
A320OHK,Oasis Hong Kong VA (OHK)
A320OHY,Onur Hava Tasimacilik (OHY)
A320ONE,Avianca Brasil (ONE)
A320OOM,ZOOM Airlines (OOM)
A320OSE,Aeroservice VA (OSE)
A320PAL,Philippine Airlines (PAL)
A320PBL,Parablinda VA (PBL)
A320PIC,Pacific Airlines (PIC)
A320PNW,Palestinian Airlines (PNW)
A320PVC,Pivivo Air VA (PVC)
A320PVI,PVI Airlines VA (PVI)
A320PWV,Pannonwings VA (PWV)
A320QAK,Patito Airlines (QAK)
A320QTR,Qatar Airways (QTR)
A320QTR2,Qatar Airways (white One World) (QTR)
A320RBA,Royal Brunei Airlines (RBA)
A320RBG,Air Arabia Egypt (RBG)
A320RJA,Royal Jordanian (RJA)
A320SAB,Sabena (SAB)
A320SAS,Scandinavian Airlines (SAS)
A320SAT,SATA Air Acores (SAT)
A320SAU,SAPCO VA (SAU)
A320SBI,S7 Airlines (SBI)
A320SDM,Rossiya (SDM)
A320SEY,Air Seychelles (SEY)
